SampleData,maxDepth,maxBins,MAE,RMSE,TIME
50,5,4,1.475967329,1.634191189,
50,10,4,1.453215235,1.62107294,
50,15,4,1.477738161,1.735085428,
50,20,4,1.60194416,2.015258495,
50,25,4,1.677269795,2.17011233,
50,5,8,1.475542505,1.63459969,
50,10,8,1.452967631,1.622414611,
50,15,8,1.473028546,1.720169708,
50,20,8,1.574187732,1.958767458,
50,25,8,1.650970892,2.123931649,
50,5,16,1.471531364,1.631500938,
50,10,16,1.408182423,1.590706492,
50,15,16,1.328445687,1.605931221,
50,20,16,1.518938899,1.868476581,
50,25,16,1.417195043,1.940602146,
50,5,32,1.465941111,1.628663745,
50,10,32,1.444736978,1.61769741,
50,15,32,1.449235739,1.683407109,
50,20,32,1.349476579,1.764875261,
50,25,32,1.400126057,1.917270825,
50,5,64,1.469731923,1.630916609,
50,10,64,1.44381242,1.616570517,
50,15,64,1.450447831,1.679920959,
50,20,64,1.503590577,1.503590577,
50,25,64,1.601559567,2.039040598,
100,5,4,1.468691164,1.629868781,
100,10,4,1.398809281,1.579015024,
100,15,4,1.267616374,1.548545762,
100,5,8,1.46755919,1.629993178,
100,10,8,1.393117617,1.576459054,
100,15,8,1.280061761,1.554505488,
100,5,16,1.467463811,1.629814758,
100,10,16,1.392690848,1.575874667,
100,15,16,1.427096409,1.635235908,
100,5,32,1.467191628,1.629115602,
100,10,32,1.415337655,1.593421818,
100,15,32,1.326119918,1.565835789,
100,5,64,1.464001842,1.627099692,
100,10,64,1.409652998,1.588715221,
100,15,64,1.309732192,1.554351286,
150,5,4,1.47504173,1.634001322,
150,10,4,1.451046997,1.614146588,
150,15,4,1.261022308,1.526234022,
150,5,8,1.470745433,1.631563205,
150,10,8,1.432004385,1.603184657,
150,15,8,1.282504398,1.534346012,
150,5,16,1.470830549,1.63169548,
150,10,16,1.442639802,1.611204599,
150,15,16,1.417186189,1.618635811,
150,5,32,1.470969252,1.631381132,
150,10,32,1.444587119,1.611967148,
150,15,32,1.423361983,1.623073223,
150,5,64,1.46867559,1.631664218,
150,10,64,1.44805042,1.614468168,
150,15,64,1.423165036,1.619192391,
200,5,4,1.470427933,1.631254479,
200,10,4,1.392831537,1.572971032,
200,15,4,1.417925001,1.621941549,
200,5,8,1.46864462,1.629688666,
200,10,8,1.400132854,1.579827846,
200,15,8,1.26047099,1.513094991,
200,5,16,1.469306029,1.630709025,
200,10,16,1.443254325,1.609672762,
200,15,16,1.411460697,1.608712578,
200,5,32,1.469665206,1.630834376,
200,10,32,1.444118344,1.610929877,
200,15,32,1.413722406,1.61010939,
200,5,64,1.46695668,1.631028965,
200,10,64,1.445058175,1.611864869,
200,15,64,1.416506018,1.610224641,
250,5,4,1.472522705,1.632583433,
250,10,4,1.393097983,1.573738232,
250,15,4,1.239955349,1.492891745,
250,20,4,1.213892282,1.628899746,
250,5,8,1.470028181,1.630982377,
250,10,8,1.394155444,1.573953212,
250,15,8,1.252845793,1.499944779,
250,20,8,1.215615915,1.599832359,
250,5,16,1.469620425,1.631756316,
250,10,16,1.409557277,1.587399997,
250,15,16,1.413581139,1.606602433,
250,20,16,1.419692238,1.68633119,
250,5,32,1.469687234,1.631642038,
250,10,32,1.408287823,1.58604234,
250,15,32,1.291772495,1.519055003,
250,20,32,1.208561041,1.550341865,
250,5,64,1.467852426,1.630582504,
250,10,64,1.444889211,1.611864816,
250,15,64,1.41509666,1.607504908,
250,20,64,1.42067238,1.679777237,
300,5,4,1.470547978,1.631161628,
300,10,4,1.42467629,1.595602771,
300,15,4,1.350918061,1.567507549,
300,5,8,1.469937578,1.630709776,
300,10,8,1.394550791,1.574929441,
300,15,8,1.248115681,1.492332742,
300,5,16,1.468775292,1.631043574,
300,10,16,1.406705434,1.584187091,
300,15,16,1.405967677,1.59970529,
300,5,32,1.467159987,1.629657637,
300,10,32,1.413025973,1.59043757,
300,15,32,1.288315986,1.515340478,
300,5,64,1.468539031,1.631373854,
300,10,64,1.445934421,1.612513989,
300,15,64,1.413149752,1.600347994,
350,5,4,1.477711041,1.635533695,
350,10,4,1.391791268,1.571700983,
350,15,4,1.3007641,1.528468172,
350,20,4,1.435761927,1.73124343,
350,5,8,1.470835951,1.632525089,
350,10,8,1.432445243,1.601854342,
350,15,8,1.349765498,1.562278929,
350,20,8,1.187224949,1.554512324,
350,5,16,1.469831613,1.631349524,
350,10,16,1.441180037,1.608952352,
350,15,16,1.406085951,1.596068427,
350,20,16,1.402718925,1.657668298,
350,5,32,1.46906299,1.630044522,
350,10,32,1.412365277,1.587249685,
350,15,32,1.405220311,1.596044147,
350,20,32,1.194933108,1.532690963,
350,5,64,1.469498226,1.631044747,
350,10,64,1.44663515,1.611575566,
350,15,64,1.288123069,1.512261869,
350,20,64,1.404068422,1.641716542,
400,5,4,1.476171862,1.634750422,
400,10,4,1.393046318,1.573162514,
400,15,4,1.232903808,1.475254009,
