,SampleData,numIterations,learningRate,maxDepth,maxBins,MAE,RMSE
gbt,50,10,0.1,15,16,1.302645634,1.587446203
gbt,100,10,0.1,15,16,1.249398223,1.503366414
gbt,150,10,0.1,15,16,1.228802447,1.456407629
gbt,200,10,0.1,15,16,1.210179561,1.428392668
gbt,250,10,0.1,15,16,1.21130812,1.424544271
gbt,300,10,0.1,15,16,1.198700825,1.410158517
gbt,350,10,0.1,15,16,1.17549055,1.416076869
gbt,400,10,0.1,15,16,1.186905044,1.395316164
xgboost,50,100,0.1,16,,1.24635725,1.43772
xgboost,100,100,0.1,16,,1.189988248,1.38881
xgboost,150,100,0.1,16,,1.169589371,1.37051
xgboost,200,100,0.1,16,,1.154215658,1.35687
