,SampleData,regType,regParam,iterations,convergence,MAE,RMSE,TIME
0,100,L1,0.01,100,0.001,1.489670366,1.65129121,
1,100,L2,0.01,100,0.001,1.485019762,1.646816638,
2,100,L1,0.1,100,0.001,1.530089433,1.700561297,
3,100,L2,0.1,100,0.001,1.490392768,1.651167707,
4,100,L1,0.01,200,0.001,1.491774335,1.654380164,
5,100,L2,0.01,200,0.001,1.484908276,1.646717805,
6,100,L1,0.1,200,0.001,1.538845898,1.717348732,
7,100,L2,0.1,200,0.001,1.490392768,1.651167707,
8,100,L1,0.01,100,0.0001,1.489670366,1.65129121,
9,100,L2,0.01,100,0.0001,1.485019762,1.646816638,
10,100,L1,0.1,100,0.0001,1.530089433,1.700561297,
11,100,L2,0.1,100,0.0001,1.490128179,1.650892076,
12,100,L1,0.01,200,0.0001,1.491774335,1.654380164,
13,100,L2,0.01,200,0.0001,1.484415518,1.646301162,
14,100,L1,0.1,200,0.0001,1.538845898,1.717348732,
15,100,L2,0.1,200,0.0001,1.49000939,1.650761059,
16,200,L1,0.00001,1000,,1.491985061,1.650987582,
17,200,L2,0.00001,1000,,1.491982323,1.650986012,
18,200,L1,0.0001,1000,,1.49203522,1.651025403,
19,200,L2,0.0001,1000,,1.491987046,1.650989459,
20,200,L1,0.001,1000,,1.49245428,1.651347609,
21,200,L2,0.001,1000,,1.492055251,1.651044296,
22,200,L1,0.01,1000,,1.499298724,1.658863125,
23,200,L2,0.01,1000,,1.492711737,1.651599277,
24,200,L1,0.1,1000,,1.546392951,1.727131552,
25,200,L2,0.1,1000,,1.498653116,1.657274968,
26,200,L1,1,1000,,1.90242335,2.290732537,
27,200,L2,1,1000,,1.532817872,1.69686993,
28,200,L1,0.00001,2000,,1.491985061,1.650987582,
29,200,L2,0.00001,2000,,1.491982323,1.650986012,
30,200,L1,0.0001,2000,,1.49203522,1.651025403,
31,200,L2,0.0001,2000,,1.491987046,1.650989459,
32,200,L1,0.001,2000,,1.49245428,1.651347609,
33,200,L2,0.001,2000,,1.492055251,1.651044296,
34,200,L1,0.01,2000,,1.499298724,1.658863125,
35,200,L2,0.01,2000,,1.492711737,1.651599277,
36,200,L1,0.1,2000,,1.546392951,1.727131552,
37,200,L2,0.1,2000,,1.498653116,1.657274968,
38,200,L1,1,2000,,1.90242335,2.290732537,
39,200,L2,1,2000,,1.532817872,1.69686993,
40,50,L2,0.01,100,,1.491744129,1.651641008,21.16
41,50,L2,0.1,100,,1.49754227,1.657161826,9.65
42,50,L2,0.01,1000,,1.491680115,1.651575271,16.89
43,50,L2,0.1,1000,,1.49754227,1.657161826,2.05
44,50,L2,0.01,10000,,1.491680115,1.651575271,16.17
45,50,L2,0.1,10000,,1.49754227,1.657161826,9.28
46,50,L2,0.01,100000,,1.491680115,1.651575271,15
47,50,L2,0.1,100000,,1.49754227,1.657161826,9.05
48,50,L2,0.01,1000000,,1.491680115,1.651575271,13.11
49,50,L2,0.1,1000000,,1.49754227,1.657161826,8.18
50,50,L1,0.00001,1000,,1.491771907,1.65112992,25.59
51,50,L2,0.00001,1000,,1.491768357,1.651127726,26.95
52,50,L1,0.0001,1000,,1.491830305,1.651174031,18.48
53,50,L2,0.0001,1000,,1.491773418,1.65113157,18.46
54,50,L1,0.001,1000,,1.492340652,1.651567955,15.21
55,50,L2,0.001,1000,,1.491845914,1.651190716,16.97
56,50,L1,0.01,1000,,1.499890138,1.659602982,29.96
57,50,L2,0.01,1000,,1.492543469,1.651785658,13.87
58,50,L1,0.1,1000,,1.548061746,1.729225896,29.48
59,50,L2,0.1,1000,,1.498788161,1.657720328,15.81
60,50,L1,1,1000,,1.900288888,2.288711235,11.57
61,50,L2,1,1000,,1.532880977,1.697227169,10.12
62,50,L1,10,1000,,3.106277352,3.512699638,0.83
63,50,L2,10,1000,,1.889950221,2.282029077,24.6
64,50,L1,100,1000,,3.106277352,3.512699638,0.85
65,50,L2,100,1000,,nan,nan,138
66,50,L1,0.00001,10000,,1.491771907,1.65112992,13.77
67,50,L2,0.00001,10000,,1.491768357,1.651127726,12.1
68,50,L1,0.0001,10000,,1.491830305,1.651174031,13.07
69,50,L2,0.0001,10000,,1.491773418,1.65113157,12.87
70,50,L1,0.001,10000,,1.492340652,1.651567955,10.69
71,50,L2,0.001,10000,,1.491845913,1.651190716,13.03
72,50,L1,0.01,10000,,1.499890138,1.659602982,40.29
73,50,L2,0.01,10000,,1.492543469,1.651785658,18.77
74,50,L1,0.1,10000,,1.548061746,1.729225896,38.09
75,50,L2,0.1,10000,,1.498788161,1.657720328,8.25
76,50,L1,1,10000,,1.900288888,2.288711235,12.98
77,50,L2,1,10000,,1.532880977,1.697227169,8.05
78,50,L1,10,10000,,3.106277352,3.512699638,0.91
79,50,L2,10,10000,,1.889950221,2.282029077,24.93
80,50,L1,100,10000,,3.106277352,3.512699638,0.92
81,50,L2,100,10000,,nan,nan,1406.97
82,100,L1,0.001,1000,,1.492763548,1.652095018,
83,100,L2,0.001,1000,,1.49234571,1.651774398,
84,100,L1,0.01,1000,,1.49979067,1.65981362,
85,100,L2,0.01,1000,,1.492963209,1.652308171,
86,100,L1,0.001,10000,,1.492763548,1.652095018,
87,100,L2,0.001,10000,,1.49234571,1.651774398,
88,100,L1,0.01,10000,,1.49979067,1.65981362,
89,100,L2,0.01,10000,,1.492963209,1.652308171,
90,150,L1,0.001,1000,,1.490026391,1.649456685,
91,150,L2,0.001,1000,,1.489594254,1.649125666,
92,150,L1,0.01,1000,,1.496977452,1.656977194,
93,150,L2,0.01,1000,,1.490222222,1.649646945,
94,150,L1,0.001,10000,,1.490026391,1.649456685,
95,150,L2,0.001,10000,,1.489594254,1.649125666,
96,150,L1,0.01,10000,,1.496977452,1.656977194,
97,150,L2,0.01,10000,,1.490222222,1.649646945,
98,200,L1,0.001,1000,,1.492218445,1.651330285,
99,200,L2,0.001,1000,,1.49172843,1.65094518,
100,200,L1,0.01,1000,,1.499453172,1.659106273,
101,200,L2,0.01,1000,,1.492420087,1.651539557,
102,200,L1,0.001,10000,,1.492218445,1.651330285,
103,200,L2,0.001,10000,,1.49172843,1.65094518,
104,200,L1,0.01,10000,,1.499453172,1.659106273,
105,200,L2,0.01,10000,,1.492420087,1.651539557,
106,250,L1,0.001,1000,,1.491473392,1.650976642,
107,250,L2,0.001,1000,,1.490990003,1.650599795,
108,250,L1,0.01,1000,,1.498678319,1.658704348,
109,250,L2,0.01,1000,,1.491646342,1.651161092,
110,250,L1,0.001,10000,,1.491473392,1.650976642,
111,250,L2,0.001,10000,,1.490990003,1.650599795,
112,250,L1,0.01,10000,,1.498678319,1.658704348,
113,250,L2,0.01,10000,,1.491646342,1.651161092,
114,300,L1,0.001,1000,,1.490704442,1.650052138,
115,300,L2,0.001,1000,,1.490210258,1.64965156,
116,300,L1,0.01,1000,,1.498041671,1.658014681,
117,300,L2,0.01,1000,,1.490898024,1.650251118,
118,300,L1,0.001,10000,,1.490704442,1.650052138,
119,300,L2,0.001,10000,,1.490210258,1.64965156,
120,300,L1,0.01,10000,,1.498041671,1.658014681,
121,300,L2,0.01,10000,,1.490898024,1.650251118,
122,350,L1,0.001,1000,,1.491573911,1.65086164,
123,350,L2,0.001,1000,,1.491101561,1.650493811,
124,350,L1,0.01,1000,,1.498656039,1.658572026,
125,350,L2,0.01,1000,,1.491751907,1.651035245,
126,350,L1,0.001,10000,,1.491573911,1.65086164,
127,350,L2,0.001,10000,,1.491101561,1.650493811,
128,350,L1,0.01,10000,,1.498656039,1.658572026,
129,350,L2,0.01,10000,,1.491751907,1.651035245,
130,400,L1,0.001,1000,,1.491053722,1.650281197,
131,400,L2,0.001,1000,,1.490626551,1.649949066,
132,400,L1,0.01,1000,,1.497945085,1.657729473,
133,400,L2,0.01,1000,,1.491255946,1.650479338,
134,400,L1,0.001,10000,,1.491053722,1.650281197,
135,400,L2,0.001,10000,,1.490626551,1.649949066,
136,400,L1,0.01,10000,,1.497945085,1.657729473,
137,400,L2,0.01,10000,,1.491255946,1.650479338,
